Datetime,Upstream,Downstream,Body,Actuator,Hyperbaric,Backseat,Spring Chamber,Primary Stem Seal,Secondary Stem Seal,Relief Port,BX Port,Spare,Flow Meter,Mass Spectrometer,LVDT,Torque,Number Of Turns,Motor Speed,Ambient Temperature,Body Temperature,Monitor Temperature,Chamber Temperature,Hyperbaric Water Temperature,Close,Open,Cycle Count
09:16.2,0,0,0,0,0,0,0,0,0,0,0,0,-249.9863,0,0,-0.10966468,0,0,31.1,29.9,32.9,30,41.1,FALSE,FALSE,1
09:17.2,0,0,0,0,0,0,0,0,0,0,0,0,-249.9863,0,0,-0.1594176,0,0,31.1,29.9,32.9,30,41.1,FALSE,FALSE,1
09:18.2,0,0,0,0,0,0,0,0,0,0,0,0,-249.9859,0,0,-0.11986065,0,0,31.1,29.9,32.9,30,41.1,FALSE,FALSE,1
09:19.2,0,0,0,0,0,0,0,0,0,0,0,0,-249.9864,0,0,-0.11160016,0,0,31.1,29.9,32.9,30,41.1,FALSE,FALSE,1
09:20.2,0,0,0,0,0,0,0,0,0,0,0,0,-249.9854,0,0,-0.1573405,0,0,31.1,29.9,32.9,30,41.1,FALSE,FALSE,1
09:21.2,0,0,0,0,0,0,0,0,0,0,0,0,-249.9873,0,0,-0.1918466,0,0,31.1,29.9,33,30,41.1,FALSE,FALSE,1
09:22.2,0,0,0,0,0,0,0,0,0,0,0,0,-249.9858,0,0,-0.1470501,0,0,31.1,29.9,33,30,41.1,FALSE,FALSE,1
09:23.2,0,0,0,0,0,0,0,0,0,0,0,0,-249.987,0,0,-0.1641851,0,0,31.1,29.9,33,30,41.1,FALSE,FALSE,1
09:24.2,0,0,0,0,0,0,0,0,0,0,0,0,-249.9864,0,0,-0.1629579,0,0,31.1,29.9,33,30,41.1,FALSE,FALSE,1
09:25.2,0,0,0,0,0,0,0,0,0,0,0,0,-249.9863,0,0,-0.11367702,0,0,31.1,29.9,33,30,41.1,FALSE,FALSE,1
09:26.2,0,0,0,0,0,0,0,0,0,0,0,0,-249.9858,0,0,-0.08714843,0,0,31.1,29.9,33,30,41.1,FALSE,FALSE,1
09:27.2,0,0,0,0,0,0,0,0,0,0,0,0,-249.9861,0,0,-0.08261681,0,0,31,29.9,33,30,41,FALSE,FALSE,1
09:27.2,0,0,0,0,0,0,0,0,0,0,0,0,-249.9861,0,0,-0.08261681,0,0,31,29.9,33,30,41,FALSE,FALSE,1
